Replicates	date	time	day-time	body-temperature
1	22.05.2019	9.15	T_0915	32.3
2	22.05.2019	9.15	T_0915	32.2
3	22.05.2019	9.15	T_0915	32.1
4	22.05.2019	9.15	T_0915	32
5	22.05.2019	9.15	T_0915	31.9
6	22.05.2019	9.15	T_0915	32.2
7	22.05.2019	9.15	T_0915	32
8	22.05.2019	9.15	T_0915	32.2
9	22.05.2019	9.15	T_0915	32.1
10	22.05.2019	9.15	T_0915	32.1
1	22.05.2019	12.30	T_1230	39.2
2	22.05.2019	12.30	T_1230	39
3	22.05.2019	12.30	T_1230	41.5
4	22.05.2019	12.30	T_1230	39.1
5	22.05.2019	12.30	T_1230	39.3
6	22.05.2019	12.30	T_1230	39.8
7	22.05.2019	12.30	T_1230	40.1
8	22.05.2019	12.30	T_1230	41.3
9	22.05.2019	12.30	T_1230	41
10	22.05.2019	12.30	T_1230	39.6
1	22.05.2019	16.12	T_1612	35.2
2	22.05.2019	16.12	T_1612	34.9
3	22.05.2019	16.12	T_1612	35.4
4	22.05.2019	16.12	T_1612	35.1
5	22.05.2019	16.12	T_1612	34.6
6	22.05.2019	16.12	T_1612	35.7
7	22.05.2019	16.12	T_1612	35.9
8	22.05.2019	16.12	T_1612	36
9	22.05.2019	16.12	T_1612	35.4
10	22.05.2019	16.12	T_1612	35.8
1	22.05.2019	17.40	T_1740	35.5
2	22.05.2019	17.40	T_1740	34.3
3	22.05.2019	17.40	T_1740	35.4
4	22.05.2019	17.40	T_1740	34.4
5	22.05.2019	17.40	T_1740	35.5
6	22.05.2019	17.40	T_1740	35.5
7	22.05.2019	17.40	T_1740	35.4
8	22.05.2019	17.40	T_1740	35.5
9	22.05.2019	17.40	T_1740	35.2
10	22.05.2019	17.40	T_1740	35.1
